"generator_index","generator_sample_index","m","n","gen_fn","bic_a1","nknots_a1","p_a1","bic_a2","nknots_a2","p_a2","bic_diff","nknots_diff","p_diffs"
"1","1",2000,250,"Michaelis-Menten",-383.063568330521,2,0.000182372551093618,-383.063568330521,2,0.000182372551093621,0,0,-3.3881317890172e-18
"1","1",2000,250,"Michaelis-Menten",-425.993653543411,2,0.000429887909285975,-425.993653543411,2,0.00042988790928596,2.27373675443232e-13,0,1.46909394371786e-17
"1","1",2000,250,"Michaelis-Menten",-420.57792210925,3,0.000467664592812218,-420.57792210925,3,0.000467664592812217,2.27373675443232e-13,0,1.13841228110978e-18
"1","1",2000,250,"Michaelis-Menten",-421.934678496846,2,0.000118082854319552,-421.934678496846,2,0.000118082854319539,0,0,1.30104260698261e-17
"1","1",2000,250,"Michaelis-Menten",-409.194505809828,2,0.000160051046427557,-409.194505809827,2,0.00016005104642756,-4.54747350886464e-13,0,-3.30681662608079e-18
"1","1",2000,250,"Michaelis-Menten",-363.202143031624,2,0.000329153481732894,-363.202143031624,2,0.000329153481732877,2.27373675443232e-13,0,1.72388145425195e-17
"1","1",2000,250,"Michaelis-Menten",-383.472377470908,2,0.000437943585306816,-384.164541715112,1,0.0011071822236223,0.69216424420398,1,-0.000669238638315487
"1","1",2000,250,"Michaelis-Menten",-417.376664002782,2,0.000506546095951065,-417.376664002782,2,0.00050654609595106,-2.27373675443232e-13,0,4.22838847269347e-18
"1","1",2000,250,"Michaelis-Menten",-400.314820097795,2,0.000310662215545981,-400.314820097795,2,0.000310662215545963,1.13686837721616e-13,0,1.84856470408779e-17
"1","1",2000,250,"Michaelis-Menten",-427.464044681453,3,0.000138733179797094,-430.689031556731,2,7.23472970600157e-05,3.22498687527775,1,6.63858827370782e-05
"1","1",2000,250,"Michaelis-Menten",-387.905864270481,2,0.000548532108853529,-387.905864270481,2,0.000548532108853536,1.13686837721616e-13,0,-6.39679281766448e-18
"1","1",2000,250,"Michaelis-Menten",-413.969865585977,3,0.000281715936981535,-417.926991431754,2,0.000240309884209519,3.95712584577689,1,4.14060527720161e-05
"1","1",2000,250,"Michaelis-Menten",-421.601484489682,2,0.000251236568969816,-421.601484489682,2,0.000251236568969793,-2.27373675443232e-13,0,2.36898174688083e-17
"1","1",2000,250,"Michaelis-Menten",-430.975809352693,2,0.000196876126882777,-430.975809352693,2,0.000196876126882787,0,0,-1.04083408558608e-17
"1","1",2000,250,"Michaelis-Menten",-422.120875068629,2,0.000172228005931464,-422.120875068629,2,0.000172228005931455,1.13686837721616e-13,0,9.0801931945661e-18
"1","1",2000,250,"Michaelis-Menten",-438.185076935605,2,0.000320421913023979,-438.185076935605,2,0.000320421913023978,0,0,9.75781955236954e-19
"1","1",2000,250,"Michaelis-Menten",-426.929186778696,3,0.000387112834005662,-432.270501328478,2,0.000420824315258863,5.34131454978228,1,-3.3711481253201e-05
"1","1",2000,250,"Michaelis-Menten",-446.500400720879,2,0.000369192961680206,-446.500400720879,2,0.00036919296168019,1.13686837721616e-13,0,1.64256629131554e-17
"1","1",2000,250,"Michaelis-Menten",-392.167111764057,2,0.000227148777875078,-393.552806195144,1,0.000526268305920827,1.38569443108685,1,-0.000299119528045749
"1","1",2000,250,"Michaelis-Menten",-426.045198228606,1,0.000602103414608437,-426.045198228606,1,0.00060210341460845,1.13686837721616e-13,0,-1.32272665043232e-17
"1","1",2000,250,"Michaelis-Menten",-425.142898301345,2,0.000299791780792776,-425.142898301345,2,0.000299791780792784,1.70530256582424e-13,0,-8.45677694538693e-18
"1","1",2000,250,"Michaelis-Menten",-408.73176251893,2,0.000143780139782252,-408.731762518929,2,0.000143780139782255,-1.13686837721616e-13,0,-2.954450920023e-18
"1","1",2000,250,"Michaelis-Menten",-401.55671006143,2,0.000317126491688765,-401.55671006143,2,0.00031712649168876,2.27373675443232e-13,0,5.52943107967607e-18
"1","1",2000,250,"Michaelis-Menten",-443.284572723853,2,0.000257819863515541,-443.284572723853,2,0.000257819863515568,0,0,-2.66713734431434e-17
"1","1",2000,250,"Michaelis-Menten",-423.43026642231,2,0.000247314930355617,-423.43026642231,2,0.000247314930355625,0,0,-8.13151629364128e-18
"1","1",2000,250,"Michaelis-Menten",-369.8605557431,3,0.000193143584978078,-372.657805594694,2,6.37699481376402e-05,2.79724985159436,1,0.000129373636840437
"1","1",2000,250,"Michaelis-Menten",-410.261337582107,2,0.000325113467316525,-410.261337582107,2,0.000325113467316533,1.13686837721616e-13,0,-7.80625564189563e-18
"1","1",2000,250,"Michaelis-Menten",-417.948416426422,2,0.000320865147988024,-417.948416426422,2,0.000320865147988058,1.13686837721616e-13,0,-3.39897381074206e-17
"1","1",2000,250,"Michaelis-Menten",-435.471101619798,2,0.00037841511630191,-435.471101619798,2,0.000378415116301914,-2.27373675443232e-13,0,-4.77048955893622e-18
"1","1",2000,250,"Michaelis-Menten",-411.562918892321,2,0.000180516397490956,-411.562918892321,2,0.000180516397490946,3.41060513164848e-13,0,1.00288700954909e-17
"1","1",2000,250,"Michaelis-Menten",-400.4100635742,2,0.000272411995032933,-400.410063574199,2,0.000272411995032928,-2.27373675443232e-13,0,4.44522890719057e-18
"1","1",2000,250,"Michaelis-Menten",-433.959152736662,2,0.000446259312827139,-433.959152736662,2,0.000446259312827171,0,0,-3.18755438710738e-17
"1","1",2000,250,"Michaelis-Menten",-423.234147960708,2,0.000486195846755119,-423.234147960708,2,0.000486195846755108,2.8421709430404e-13,0,1.16551733542192e-17
"1","1",2000,250,"Michaelis-Menten",-401.626533381207,2,0.000192575038517287,-401.626533381207,2,0.000192575038517306,1.13686837721616e-13,0,-1.85669622038143e-17
"1","1",2000,250,"Michaelis-Menten",-393.334925351548,2,0.000297716963742278,-395.40675518447,1,0.000695137516718442,2.07182983292199,1,-0.000397420552976164
"1","1",2000,250,"Michaelis-Menten",-434.648714690203,2,0.000204498489726125,-434.648714690204,2,0.000204498489726121,3.41060513164848e-13,0,4.41812385287843e-18
"1","1",2000,250,"Michaelis-Menten",-399.993438837268,2,8.2144989895257e-05,-399.993438837268,2,8.21449898952527e-05,-4.54747350886464e-13,0,4.28259858131774e-18
"1","1",2000,250,"Michaelis-Menten",-464.036025561741,2,0.00020306471103225,-464.036025561741,2,0.000203064711032257,-3.41060513164848e-13,0,-6.17995238316738e-18
